Country,code,id,year,DEMO,CORRUPT,POP,POP0-14%,LFPR,UR,LABOR,LNL1,EFFECTIVE_LABOR,LNL2,EDU_IDX,GDP,LNY,INCOMEPC,LNINCOMEPC,INEQUALITY,CAPITAL_STOCK,LNK,URBAN,LAW,TIME_TREND,dCIVILWARS,dFRENCH,dBRITISH,dLATINAME,dWENA,dMIDEAST,dAFRICAN,dOIL,dLANDLOCKED,dPOSTSOVIET
Lesotho,LSO,84,2007,5.5,0.524037272,1955656,38.801,66.4,26.4,584899,13.279,282608,12.552,0.483174104,3829.324,8.25,1958.076,7.58,57.85,11933.579,9.387,23.293,0.563,1,0,0,1,0,0,0,1,0,1,0
Liberia,LBR,85,2007,4.5,0.56639939,3522337,43.436,60.9,5.6,1145402,13.951,408364,12.92,0.356524444,1978.584,7.59,561.725,6.331,52.6,4866.903,8.49,46.742,0.417,1,1,0,0,0,0,0,1,0,0,0
Lithuania,LTU,86,2007,7,0.492993448,3231294,15.848,56.6,4.3,1472895,14.203,1272641,14.057,0.864040354,63926.52,11.065,19783.566,9.893,35.8,165277.031,12.015,66.777,0.667,1,0,0,0,0,0,0,0,0,0,1
Luxembourg,LUX,87,2007,7,0.09869585,479993,18.198,55.1,4.1,207476,12.243,154766,11.95,0.745948353,41167.789,10.625,85767.478,11.359,30.8,114725.305,11.65,87.409,1,1,0,0,0,0,1,0,0,0,1,0
Macedonia,MKD,88,2007,5,0.570414114,2051427,19.444,54.5,34.9,586313,13.282,,,,19706.617,9.889,9606.297,9.17,39,56812.066,10.948,57.236,0.5,1,0,0,0,0,0,0,0,0,1,1
Madagascar,MDG,89,2007,4.5,0.519859727,19371031,44.323,87.7,4.1,9070902,16.021,3931561,15.185,0.433425611,10737.672,9.282,554.316,6.318,47.2,42414.25,10.655,30.043,0.417,1,0,1,0,0,0,0,1,0,0,0
Malawi,MWI,90,2007,4,0.60772506,13498377,46.476,82.5,7.5,5513467,15.523,2136444,14.575,0.387495556,15891.672,9.674,1177.302,7.071,39,49049.277,10.801,15.235,0.5,1,0,0,1,0,0,0,1,0,1,0
Malaysia,MYS,91,2007,4,0.443911612,26730607,29.388,60,3.2,10962565,16.21,7220652,15.792,0.658664444,477226.25,13.076,17853.177,9.79,37.9,1206865.75,14.004,68.36,0.667,1,0,0,1,0,0,0,0,0,0,0
Maldives,MDV,92,2007,2.5,0.666687167,349000,31.205,64.5,12.6,135349,11.816,71869,11.183,0.530986057,4167.022,8.335,11939.892,9.388,37.4,5909.371,8.684,36.303,0.625,1,0,0,1,0,0,0,0,0,0,0
Mali,MLI,93,2007,5.5,0.567030865,13759226,46.913,58.8,8.5,3929903,15.184,1032164,13.847,0.262643544,17641.953,9.778,1282.191,7.156,39,25653.773,10.152,33.612,0.5,1,0,1,0,0,0,0,1,0,1,0
Malta,MLT,94,2007,7,0.287627625,406724,17.142,49.8,6.5,156919,11.963,106596,11.577,0.679309813,10581.592,9.267,26016.64,10.166,26,27340.193,10.216,94.092,0.833,1,0,0,1,0,1,0,0,0,0,0
Mauritania,MRT,95,2007,4,0.600879765,3328285,41.498,52.5,31.4,701255,13.461,227609,12.335,0.324573333,9188.252,9.126,2760.657,7.923,39,22997.242,10.043,54.592,0.563,1,0,1,0,0,0,0,1,0,0,0
Mauritius,MUS,96,2007,6.5,0.401015973,1239630,23.809,58,8.5,501237,13.125,328615,12.703,0.65560857,17477.607,9.769,14099.052,9.554,39,43920.996,10.69,41.203,0.875,1,0,0,1,0,0,0,1,0,0,0
Mexico,MEX,97,2007,5.5,0.552138001,113139374,31.458,60.9,3.4,45621144,17.636,27577373,17.133,0.604486656,1640507.25,14.311,14499.879,9.582,48.1,3924123.75,15.183,76.923,0.5,1,0,0,0,1,0,0,0,0,0,0
Moldova,MDA,98,2007,4.5,0.62031852,3576910,17.426,44.4,5.1,1244510,14.034,814181,13.61,0.654217778,11871.447,9.382,3318.911,8.107,35.6,49147.938,10.803,45.11,0.833,1,0,0,0,0,0,0,0,0,1,1
Mongolia,MNG,99,2007,6,0.631228578,2592776,27.576,60.6,7.2,1056017,13.87,684941,13.437,0.648608148,17018.916,9.742,6563.975,8.789,33,90254.516,11.41,64.564,0.667,1,0,0,0,0,0,0,0,0,1,1
Montenegro,MNE,100,2007,5,0.561263281,615875,20.062,52.1,19.4,206738,12.239,153813,11.943,0.744,7349.071,8.902,11932.732,9.387,36,22332.477,10.014,62.56,0,1,0,0,0,0,0,0,0,0,0,0
Morocco,MAR,101,2007,3.5,0.564635909,31011322,29.316,51.4,9.8,10162743,16.134,4292991,15.272,0.422424444,155896.281,11.957,5027.076,8.523,40.9,531038.375,13.183,56.153,0.833,1,1,1,0,0,0,0,0,0,0,0
Mozambique,MOZ,102,2007,5,0.598841494,22359637,45.864,85.2,22.6,7982374,15.893,2816705,14.851,0.352865606,21389.668,9.971,956.62,6.863,47.1,22120.938,10.004,30.364,0.5,1,1,0,0,0,0,0,1,0,0,0
Namibia,NAM,103,2007,6,0.447576129,2083174,39.104,62.9,19.4,643129,13.374,331500,12.711,0.515448889,15377.93,9.641,7381.971,8.907,74.3,32784.09,10.398,38.598,0.833,1,0,0,0,0,0,0,1,0,0,0
Nepal,NPL,104,2007,3.5,0.642902446,26063619,38.781,84,2.3,13094594,16.388,5065455,15.438,0.386835556,36379.332,10.502,1395.79,7.241,47.3,121809.672,11.71,15.822,0.5,1,0,0,0,0,0,0,0,0,1,0
Netherlands,NLD,105,2007,7,0.056729031,16381696,18.007,65.7,3.2,8542354,15.961,7343565,15.809,0.859665288,741836.688,13.517,45284.486,10.721,30.9,2518337.75,14.739,84.539,1,1,0,0,0,0,1,0,0,0,0,0
New Zealand,NZL,106,2007,7,0.031162786,4223800,21.112,68.1,3.7,2185170,14.597,1991535,14.504,0.911386667,130128.109,11.776,30808.303,10.336,36.2,366549.063,12.812,86.104,0.917,1,0,0,1,0,0,0,0,0,0,0
Nicaragua,NIC,107,2007,5,0.652828491,5522119,34.569,62,5,2128147,14.571,1003251,13.819,0.47142,20340.207,9.92,3683.406,8.212,52.3,75707.711,11.235,56.437,0.667,1,1,0,0,1,0,0,0,0,0,0
Niger,NER,108,2007,4.5,0.655299246,14527631,49.549,64.6,5.1,4493306,15.318,713727,13.478,0.158842222,10359.734,9.246,713.106,6.57,34.3,45575.391,10.727,17.018,0.333,1,0,1,0,0,0,0,1,0,1,0
Nigeria,NGA,109,2007,4,0.69670068,147152502,43.788,55.2,7.6,42189727,17.558,17683571,16.688,0.419144,647798.563,13.381,4402.226,8.39,42.9,1029335.813,13.844,40.819,0.333,1,1,0,1,0,0,0,1,1,0,0
Norway,NOR,110,2007,7,0.107601881,4709153,19.288,66.2,2.5,2453250,14.713,2229329,14.617,0.908724444,272896.875,12.517,57950.31,10.967,25.8,852845.375,13.656,78.234,1,1,0,0,0,0,1,0,0,1,0,0
Oman,OMN,111,2007,2.5,0.446694201,2593750,30.212,56.2,7.8,937941,13.751,505434,13.133,0.538876092,111508.727,11.622,42991.316,10.669,32,231177.281,12.351,73.527,0.833,1,0,0,0,0,0,1,0,1,0,0
Pakistan,PAK,112,2007,2.5,0.647963417,159767672,37.219,53.2,5.1,50640077,17.74,17094170,16.654,0.337562077,564507.625,13.244,3533.303,8.17,31.2,994699.813,13.81,35.442,0.5,1,1,0,1,0,0,0,0,0,0,0
Panama,PAN,113,2007,6.5,0.570954436,3438398,29.569,64.3,6.4,1457492,14.192,955075,13.77,0.655286667,41687.957,10.638,12124.238,9.403,54.9,92301.109,11.433,64.251,0.5,1,0,0,0,1,0,0,0,0,0,0
